1	51769
1	52639
1	53500
1	32585
1	34712
1	37679
1	34333
1	32923
1	33298
1	2156
1	1815
1	1807
1	7116
1	5652
1	5871
2	4022
2	3485
2	3390
2	4059
2	3798
2	3311
2	3303
2	3364
5	13946
5	13130
5	15606
1	6355
1	5407
1	5464
1	39443
1	39388
1	38461
1	158884
1	157107
1	158357
64	46072
1	36913
1	33942
1	34192
1	36285
1	33523
1	43604
1	40524
1	33508
1	33106
1	34489
1	36640
1	33449
1	32622
1	34842
1	33448
1	33452
1	34457
1	33426
1	33924
1	35057
1	36283
1	35288
1	34491
1	34711
1	34478
1	34153
1	32777
1	34330
1	33381
1	33890
1	33785
1	33672
